"","TIME","PUN","DEM","SOLAR","WIND"
"88",2015-03-29,9.8375,5105004,30764.3235,84546.7405
"89",2015-03-30,18.69875,6399361,72685.8765,171638.928
"90",2015-03-31,16.97,6515006,48729.4555,183860.411
"91",2015-04-01,20.6808333333333,6665837,98587.7095,236424.433
"92",2015-04-02,32.0529166666667,6630187,85676.701,202837.308
"93",2015-04-03,24.14125,5400767,122065.162,114462.2055
"94",2015-04-04,28.0925,5263076,95242.394,28810.6435
"95",2015-04-05,25.2554166666667,4885877,165105.367,71368.169
"96",2015-04-06,26.4320833333333,4878105,112895.17,105211.023
"97",2015-04-07,36.0275,6224789,152369.709,152743.5555
"98",2015-04-08,42.1758333333333,6412160,112535.877,138790.8635
"99",2015-04-09,42.2479166666667,6274909,152970.879,46137.1895
"100",2015-04-10,35.66375,6130340,163745.4945,57751.0985
"101",2015-04-11,19.6175,5369262,119417.5505,62607.151
"102",2015-04-12,0.0841666666666669,5024203,150500.223,88444.066
"103",2015-04-13,24.0745833333333,6151854,137207.8335,103101.8645
"104",2015-04-14,32.04875,6269963,145376.4885,74018.4965
"105",2015-04-15,27.0983333333333,5960503,175848.308,69610.5715
"106",2015-04-16,34.6370833333333,6197257,155058.2225,34375.7525
"107",2015-04-17,37.3483333333333,6174178,94003.0895,50601.8665
"108",2015-04-18,26.4529166666667,5205658,165372.302,88732.431
"109",2015-04-19,23.4804166666667,4887960,178445.664,30050.1
"110",2015-04-20,32.68,6116382,180765.431,102008.797
"111",2015-04-21,30.1995833333333,6040583,186987.267,114829.3545
"112",2015-04-22,36.12875,6074198,157208.0025,49448.905
"113",2015-04-23,34.5516666666667,6145428,164725.567,24509.02
"114",2015-04-24,33.2825,6032225,187998.529,41014.582
"115",2015-04-25,26.205,5136413,90120.2325,62596.543
"116",2015-04-26,23.42375,4869960,115718.638,38847.973
"117",2015-04-27,35.2666666666667,5989005,100837.581,121151.0445
"118",2015-04-28,36.8191666666667,6127352,103304.317,142607.2715
"119",2015-04-29,32.3283333333333,6094675,177644.7155,83148.064
"120",2015-04-30,34.8604166666667,6202386,117582.34,48740.6125
"121",2015-05-01,23.0870833333333,4898306,70757.9655,28551.81575
